,IMDB ID,Title,Director,Actor,Year,Box Office,Rating,IMDB Rating,IMDB Votes,Metascore
244,tt3464902,The Lobster,Yorgos Lanthimos,Jacqueline Abrahams,2015,9078073.0,R,7.2,201348.0,82.0
245,tt2126355,San Andreas,Brad Peyton,Dwayne Johnson,2015,127666001.0,PG-13,6.0,203377.0,43.0
246,tt1321870,Gangster Squad,Ruben Fleischer,Sean Penn,2013,45996718.0,R,6.7,201910.0,40.0
247,tt3741834,Lion,Garth Davis,Sunny Pawar,2016,51694854.0,PG-13,8.0,197770.0,69.0
248,tt4196776,Jason Bourne,Paul Greengrass,Matt Damon,2016,162162120.0,PG-13,6.6,200524.0,58.0
249,tt2334879,White House Down,Roland Emmerich,Channing Tatum,2013,73103784.0,PG-13,6.4,199622.0,52.0
250,tt1436562,Rio,Carlos Saldanha,Karen Disher,2011,143613651.0,G,6.9,199259.0,63.0
251,tt1599348,Safe House,Daniel Espinosa,Denzel Washington,2012,126149655.0,R,6.7,198994.0,52.0
252,tt3235888,It Follows,David Robert Mitchell,Bailey Spry,2014,10705259.0,R,6.8,198611.0,83.0
253,tt1605630,American Reunion,Jon Hurwitz,Jason Biggs,2012,55300000.0,R,6.7,197605.0,49.0
254,tt1291150,Teenage Mutant Ninja Turtles,Jonathan Liebesman,Megan Fox,2014,163911409.0,PG-13,5.8,196200.0,31.0
255,tt1623205,Oz the Great and Powerful,Sam Raimi,James Franco,2013,234903076.0,PG,6.3,196092.0,44.0
256,tt2184339,The Purge,James DeMonaco,Ethan Hawke,2013,64400000.0,R,5.7,195033.0,41.0
257,tt1980209,Pain & Gain,Michael Bay,Mark Wahlberg,2013,49300000.0,R,6.4,194964.0,45.0
258,tt4630562,The Fate of the Furious,F. Gary Gray,Vin Diesel,2017,225697400.0,PG-13,6.7,194998.0,56.0
259,tt1606378,A Good Day to Die Hard,John Moore,Bruce Willis,2013,67344392.0,R,5.3,193649.0,28.0
260,tt1428538,Hansel & Gretel: Witch Hunters,Tommy Wirkola,Jeremy Renner,2013,55000000.0,R,6.1,189658.0,23.0
261,tt2704998,Game Night,John Francis Daley,Jason Bateman,2018,33537766.0,R,6.9,187824.0,66.0
263,tt1272878,2 Guns,Baltasar Kormákur,Denzel Washington,2013,73500000.0,R,6.7,188623.0,55.0
264,tt1649419,The Impossible,J.A. Bayona,Naomi Watts,2012,18996755.0,PG-13,7.6,188212.0,73.0
265,tt4846340,Hidden Figures,Theodore Melfi,Taraji P. Henson,2016,169385416.0,PG,7.8,186786.0,74.0
266,tt1284575,Bad Teacher,Jake Kasdan,Cameron Diaz,2011,100292856.0,R,5.6,187866.0,47.0
267,tt1815862,After Earth,M. Night Shyamalan,Jaden Smith,2013,60522097.0,PG-13,4.8,187152.0,33.0
268,tt0985694,Machete,Ethan Maniquis,Danny Trejo,2010,26200000.0,R,6.6,186475.0,60.0
269,tt2883512,Chef,Jon Favreau,Jon Favreau,2014,23678226.0,R,7.3,186373.0,68.0
270,tt0993842,Hanna,Joe Wright,Saoirse Ronan,2011,40200000.0,PG-13,6.8,185536.0,65.0
271,tt1667889,Ice Age: Continental Drift,Steve Martino,Aziz Ansari,2012,161317423.0,PG,6.6,184965.0,49.0
272,tt2234155,The Internship,Shawn Levy,Vince Vaughn,2013,44400000.0,PG-13,6.3,184154.0,42.0
273,tt0481499,The Croods,Kirk DeMicco,Nicolas Cage,2013,187165546.0,PG,7.2,183711.0,55.0
274,tt1899353,The Raid: Redemption,Gareth Evans,Iko Uwais,2011,1200000.0,R,7.6,182438.0,73.0
275,tt1636826,Project X,Nima Nourizadeh,Thomas Mann,2012,53400000.0,R,6.6,184090.0,48.0
276,tt1972591,King Arthur: Legend of the Sword,Guy Ritchie,Charlie Hunnam,2017,39037047.0,PG-13,6.7,182884.0,41.0
277,tt1340800,Tinker Tailor Soldier Spy,Tomas Alfredson,Mark Strong,2011,20200000.0,R,7.1,180870.0,85.0
