,IMDB ID,Title,Director,Actor,Year,Box Office,Rating,IMDB Rating,IMDB Votes,Metascore
729,tt2304933,The 5th Wave,J Blakeson,Chloë Grace Moretz,2016,N/A,PG-13,5.2,"95,416",33
730,tt7959026,The Mule,Clint Eastwood,Clint Eastwood,2018,N/A,R,7.0,"94,618",58
731,tt1536537,What Happened to Monday,Tommy Wirkola,Noomi Rapace,2017,N/A,TV-MA,6.9,"94,634",47
732,tt0477302,Extremely Loud & Incredibly Close,Stephen Daldry,Tom Hanks,2011,"$31,836,745",PG-13,6.9,"95,472",46
733,tt1800246,That Awkward Moment,Tom Gormican,Zac Efron,2014,"$23,264,422",R,6.1,"95,448",36
734,tt1188996,My Name Is Khan,Karan Johar,Shah Rukh Khan,2010,"$3,931,456",PG-13,8.0,"95,109",50
735,tt1240982,Your Highness,David Gordon Green,Danny McBride,2011,"$21,600,000",R,5.5,"94,868",31
736,tt8079248,Yesterday,Danny Boyle,Himesh Patel,2019,N/A,PG-13,6.8,"90,739",55
737,tt0490215,Silence,Martin Scorsese,Andrew Garfield,2016,N/A,R,7.2,"94,134",79
738,tt2193215,The Counselor,Ridley Scott,Michael Fassbender,2013,"$14,696,331",R,5.3,"94,098",48
739,tt1482459,The Lorax,Chris Renaud,Danny DeVito,2012,"$211,000,000",PG,6.4,"94,094",46
740,tt1571234,Mortal Engines,Christian Rivers,Hera Hilmar,2018,N/A,PG-13,6.1,"93,349",44
741,tt0307758,Hodejegerne,N/A,Alf Tande-Petersen,2002–,NA,N/A,4.5,15,N/A
742,tt1142977,Frankenweenie,Tim Burton,Catherine O'Hara,2012,"$35,287,788",PG,6.9,"94,078",74
743,tt0889573,The Switch,Josh Gordon,Jason Bateman,2010,"$27,400,000",PG-13,6.1,"93,557",52
744,tt2381991,The Huntsman: Winter's War,Cedric Nicolas-Troyan,Chris Hemsworth,2016,"$46,445,229",PG-13,6.1,"93,189",35
745,tt3967856,Okja,Bong Joon Ho,Tilda Swinton,2017,N/A,TV-MA,7.3,"91,683",75
746,tt1524930,Vacation,John Francis Daley,Ed Helms,2015,"$40,292,843",R,6.1,"93,486",34
747,tt2671706,Fences,Denzel Washington,Denzel Washington,2016,"$57,642,961",PG-13,7.2,"93,431",79
748,tt1839492,Ruby Sparks,Jonathan Dayton,Paul Dano,2012,"$2,535,819",R,7.2,"92,913",67
749,tt1386932,Ip Man 2,Wilson Yip,Donnie Yen,2010,N/A,R,7.5,"93,008",67
750,tt0082198,Conan the Barbarian,John Milius,Arnold Schwarzenegger,1982,N/A,R,6.9,"133,108",43
751,tt1109624,Paddington,Paul King,Tim Downie,2014,"$85,879,985",PG,7.2,"92,497",77
752,tt2170593,St. Vincent,Theodore Melfi,Bill Murray,2014,"$33,454,313",PG-13,7.2,"92,792",64
753,tt1615160,The Foreigner,Martin Campbell,Katie Leung,2017,"$33,964,179",R,7.0,"92,259",55
754,tt5742374,You Were Never Really Here,Lynne Ramsay,Joaquin Phoenix,2017,N/A,R,6.8,"91,285",84
755,tt5022702,Hush,Mike Flanagan,John Gallagher Jr.,2016,N/A,R,6.6,"90,828",67
756,tt1502404,Drive Angry,Patrick Lussier,Nicolas Cage,2011,"$10,706,786",R,5.4,"92,610",44
757,tt4481414,Gifted,Marc Webb,Chris Evans,2017,"$24,799,765",PG-13,7.6,"91,553",60
758,tt2386490,How to Train Your Dragon: The Hidden World,Dean DeBlois,Jay Baruchel,2019,N/A,PG,7.5,"90,736",71
759,tt3622592,Paper Towns,Jake Schreier,Nat Wolff,2015,N/A,PG-13,6.3,"92,115",56
760,tt1389072,Downsizing,Alexander Payne,Matt Damon,2017,N/A,R,5.7,"91,630",63
761,tt2357129,Jobs,Joshua Michael Stern,Ashton Kutcher,2013,"$16,117,443",PG-13,5.9,"91,733",44
762,tt1592525,Lockout,James Mather,Guy Pearce,2012,"$14,291,570",PG-13,6.1,"91,524",48
763,tt2431286,Philomena,Stephen Frears,Judi Dench,2013,N/A,PG-13,7.6,"91,612",77
764,tt1618442,The Last Witch Hunter,Breck Eisner,Vin Diesel,2015,N/A,PG-13,6.0,"91,156",34
765,tt1622547,30 Minutes or Less,Ruben Fleischer,Jesse Eisenberg,2011,"$37,100,000",R,6.1,"91,303",49
766,tt2241351,Money Monster,Jodie Foster,George Clooney,2016,N/A,R,6.5,"90,875",55
767,tt1657507,Colombiana,Olivier Megaton,Zoe Saldana,2011,"$36,665,854",PG-13,6.4,"90,806",45
768,tt5164432,"Love, Simon",Greg Berlanti,Nick Robinson,2018,N/A,PG-13,7.6,"90,562",72
